id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
875 dark_oak_boat 10697,866,866,1000,175000 10697,866,866 11039,166,166
876 dark_oak_chest_boat 59630,27,27,20000,500000 59630,27,27 245258543,11,11
877 pale_oak_boat 130759,291,291,4000,1000000 130759,291,291 117664,45,45
878 pale_oak_chest_boat 352786,7,7,15000,1000000 352786,7,7 442222,9,9
879 mangrove_boat 188659,85,85,3000,10000000 188659,85,85 750000,1,1
880 mangrove_chest_boat 594498,45,45,28200,999000 594498,45,45 250000,1,1
881 bamboo_raft 83945,409,409,2000,1000000 83945,409,409 103371,71,71
882 bamboo_chest_raft 253556,18,18,30000,999000 253556,18,18 21686882,17,17
883 structure_block 0,0,0,0,0 0,0,0 0,0,0
884 jigsaw 0,0,0,0,0 0,0,0 0,0,0
885 test_block 0,0,0,0,0 0,0,0 0,0,0
886 test_instance_block 0,0,0,0,0 0,0,0 0,0,0
887 turtle_helmet 415927,3767,3767,45000,7000000 415927,3767,3767 293430,1064,1064
888 turtle_scute 16174,15955,993,7400,90000 982467,13760,215 18889,5003,280
889 armadillo_scute 664,6418,327,10,10000 32778,4800,75 529,1625,67
890 wolf_armor 45297,743,743,1000,1000000 45297,743,743 19615,117,117
891 flint_and_steel 38317,14523,14523,1000,10000000 38317,14523,14523 33082,4244,4244
892 bowl 2907,5560,172,38.46,1000000 158325,4928,77 1260,2507,48
893 apple 3276,210916,3801,1000,200000 203823,200064,3126 2730,39051,758
894 bow 358853,23823,23823,250,499999990 358853,23823,23823 324753,5913,5913
895 arrow 333,673991,10800,6.66,1000000 20584,661568,10337 268,218180,3466
896 coal 693,400411,6826,182,500000 42630,380416,5944 611,133142,2232
897 charcoal 315,494965,7819,102,15000 19946,488576,7634 371,99232,1612
898 diamond 7325,426121,17301,4902,400000000 365613,328320,5130 6028,104792,4027
899 emerald 3639,247593,6250,2266,113000 217091,220288,3442 3558,69315,1618
900 lapis_lazuli 746,290225,5179,46.87,1000000 44918,256384,4006 727,79243,1500
901 quartz 1484,161932,3110,552,1000000 88424,144000,2250 1519,31631,671
902 amethyst_shard 941,126915,2770,150,1000000 51148,96064,1501 1169,23981,737
903 raw_iron 1385,41400,1526,313,50000 85002,24384,381 1057,10494,357
904 iron_ingot 701,614588,12891,323,125000 41341,587136,9174 477,229764,4546
905 raw_copper 355,86657,1817,115,50000 21078,62528,977 329,19798,412
906 copper_ingot 2882,144234,2552,78.12,12000000 49517,134016,2094 906,30519,555
907 raw_gold 3722,42592,1631,1875,40000 237363,27840,435 3364,11547,411
908 gold_ingot 3342,196989,5897,2143,100000 196808,174976,2734 2688,54949,1708
909 netherite_ingot 7182969,6212,4726,6250000,11111111 474666673,1152,18 6017246,2440,2057
910 netherite_scrap 1941488,1605,1467,1500000,5000000 0,0,0 1629469,538,520
911 wooden_sword 234201,1110,1110,160,25000000 234201,1110,1110 178449,170,170
912 wooden_shovel 59540,463,463,600,1000000 59540,463,463 75345,55,55
913 wooden_pickaxe 42606,575,575,40,1320000 42606,575,575 42347,124,124
914 wooden_axe 50355,230,230,20,1000000 50355,230,230 19669,141,141
915 wooden_hoe 166413,219,219,1000,1000000 166413,219,219 67374,145,145
916 copper_sword 31655,479,479,5000,999000 31655,479,479 22558,121,121
917 copper_shovel 336322,115,115,3000,5000000 336322,115,115 74375,32,32
918 copper_pickaxe 721083,617,617,1000,200000000 721083,617,617 2169202,94,94
919 copper_axe 111335,471,471,2999,30000000 111335,471,471 52939,49,49
920 copper_hoe 1362663,303,303,3000,300000010 1362663,303,303 197833,12,12
921 stone_sword 21506,3249,3249,100,4500000 21506,3249,3249 17152,1071,1071
922 stone_shovel 22308,869,869,100,1000000 22308,869,869 11923,183,183
923 stone_pickaxe 21180,7270,7270,50,4800000 21180,7270,7270 28781,1987,1987
924 stone_axe 15431,3948,3948,800,1000000 15431,3948,3948 12638,1386,1386
925 stone_hoe 682414,787,787,700,499999990 682414,787,787 33034,288,288
926 golden_sword 78289,773,773,1000,20000000 78289,773,773 53453,208,208
927 golden_shovel 337672,189,189,5000,5000000 337672,189,189 80565,54,54
928 golden_pickaxe 84865,283,283,5000,700000 84865,283,283 88627,67,67
929 golden_axe 78891,265,265,2000,500000 78891,265,265 78211,80,80
930 golden_hoe 146785,214,214,1000,5000000 146785,214,214 103119,42,42
931 iron_sword 49265,6449,6449,1000,50000000 49265,6449,6449 23506,2120,2120
932 iron_shovel 30886,1809,1809,1000,1000000 30886,1809,1809 29496,420,420
933 iron_pickaxe 1860105,13585,13585,500,24999999570 1860105,13585,13585 17009,4298,4298
934 iron_axe 30736,5651,5651,1000,1000000 30736,5651,5651 22728,2364,2364
935 iron_hoe 41964,774,774,1000,500000 41964,774,774 56602,136,136
936 diamond_sword 696534,58039,58039,9599,24650000630 696534,58039,58039 264387,16158,16158
937 diamond_shovel 180333,30304,30304,2000,5000000 180333,30304,30304 161361,8898,8898
938 diamond_pickaxe 180922,82327,82327,10000,10000000 180922,82327,82327 186630,23399,23399
939 diamond_axe 183128,27512,27512,8000,44999997 183128,27512,27512 171916,7497,7497
940 diamond_hoe 186170,4262,4262,5000,5000000 186170,4262,4262 160322,1096,1096
941 netherite_sword 7565605,4461,4461,3000000,147000003 7565605,4461,4461 7101364,1185,1185
942 netherite_shovel 7111297,1205,1205,2100001,100000000 7111297,1205,1205 7133102,273,273
943 netherite_pickaxe 15340979,31033,31033,1000000,70000000 15340979,31033,31033 17794713,8901,8901
944 netherite_axe 18513937,13293,13293,1000000,300000010 18513937,13293,13293 25951276,3127,3127
945 netherite_hoe 1259715,2325,2325,506001,10000000 1259715,2325,2325 1033534,579,579
946 stick 166796,466981,8234,10,12950000108 3689114,450368,7037 541,148531,2574
947 mushroom_stew 10201,682,682,1000,100000 10201,682,682 7798,252,252
948 string 995,167401,3226,120,500000 53870,153024,2391 1335,52517,949
949 feather 614,45634,1018,60,50000 35598,40192,628 721,7989,214
950 gunpowder 99462,252431,5054,114,6237500211 38358,240384,3756 687,79940,1486
951 wheat_seeds 409,340584,5771,6.25,10000000 22901,328704,5136 200,93506,1585
952 wheat 868,228627,3800,250,100000 54361,218944,3421 1181,41102,697
953 bread 2073,320708,6565,632,99000 121273,289408,4522 2747,83432,1669
954 leather_helmet 243024,1594,1594,1200,10000000 243024,1594,1594 248667,352,352
955 leather_chestplate 233281,2784,2784,2000,10000000 233281,2784,2784 321994,645,645
956 leather_leggings 453685,1406,1406,1000,100000000 453685,1406,1406 317444,281,281
957 leather_boots 83668,8357,8357,1000,30000000 83668,8357,8357 93540,1992,1992
958 copper_helmet 43755,375,375,1000,1000000 43755,375,375 41091,101,101
959 copper_chestplate 104780,584,584,1000,37000000 104780,584,584 34904,108,108
960 copper_leggings 41089,352,352,700,1000000 41089,352,352 44501,98,98
961 copper_boots 54675,337,337,1000,4600000 54675,337,337 42326,68,68
962 chainmail_helmet 57844,593,593,1000,2000000 57844,593,593 78353,146,146
963 chainmail_chestplate 82975,638,638,2000,4900000 82975,638,638 61702,187,187
964 chainmail_leggings 70280,740,740,2000,10000000 70280,740,740 59871,163,163
965 chainmail_boots 41096,736,736,1000,2000000 41096,736,736 46489,211,211
966 iron_helmet 62178,1292,1292,2000,3000000 62178,1292,1292 48647,342,342
967 iron_chestplate 73541,3273,3273,4000,5000000 73541,3273,3273 63072,689,689
968 iron_leggings 66781,1804,1804,2000,2000000 66781,1804,1804 61727,444,444
969 iron_boots 99818,2481,2481,500,20000000 99818,2481,2481 128994,479,479
970 diamond_helmet 248482,26294,26294,10000,15000000 248482,26294,26294 238539,7315,7315
971 diamond_chestplate 187386,25401,25401,11500,9000000 187386,25401,25401 164359,7646,7646
972 diamond_leggings 291810,30636,30636,13000,200000000 291810,30636,30636 283632,7995,7995
973 diamond_boots 249417,31356,31356,9000,100000000 249417,31356,31356 241952,8730,8730
974 golden_helmet 95763,1046,1046,1000,5000000 95763,1046,1046 98843,229,229
975 golden_chestplate 310557,737,737,1000,100000000 310557,737,737 158774,146,146
976 golden_leggings 81751,590,590,2000,1000000 81751,590,590 119562,134,134
977 golden_boots 110677,1295,1295,1000,10000000 110677,1295,1295 92385,252,252
978 netherite_helmet 7384055,5398,5398,5000000,249999995 7384055,5398,5398 6906568,1200,1200
979 netherite_chestplate 6684971,6067,6067,5000000,248999997 6684971,6067,6067 6484270,1280,1280
980 netherite_leggings 7527775,5650,5650,5500000,97999995 7527775,5650,5650 6779202,1425,1425
981 netherite_boots 7596143,5342,5342,5900001,44999997 7596143,5342,5342 6835295,1376,1376
982 flint 2498,46833,1749,21.01,468750 149588,38912,608 2296,7203,289
983 porkchop 789,50784,944,141,166667 45872,48896,764 1250,5727,135
984 cooked_porkchop 331,840873,13847,102,100000 19745,809344,12646 409,254180,4278
985 painting 10872,17920,1683,811,300000 408072,13952,218 10219,3249,313
986 golden_apple 109053,303957,13709,14984,761764712 1344165,181504,2836 18959,83273,3646
987 enchanted_golden_apple 1404662,16384,2378,1050000,5000000 87418846,11648,182 1680224,3955,614
988 oak_sign 1735,63466,7071,188,1000000 21530,56384,3524 4531,17062,1941
989 spruce_sign 1064,192701,19912,62.5,100000 13242,157392,9837 835,68577,7260
990 birch_sign 3243,16957,1805,138,625000 49883,14432,902 2092,3032,527
991 jungle_sign 6306,6089,634,219,1000000 104953,4976,311 1568,1546,153
992 acacia_sign 14433,2133,497,313,312500 313241,1376,86 9974,510,172
993 cherry_sign 10403,9808,847,313,300000 160691,8800,550 4859,2744,206
994 dark_oak_sign 4140,13538,1302,219,200000 58291,11872,742 2103,3523,309
995 pale_oak_sign 8898,35707,2611,333,84999997 91875,34560,2160 11198,4344,468
996 mangrove_sign 27922,3194,259,1286,499500 393749,2816,176 13883,732,49
997 bamboo_sign 13192,13562,880,938,19000000 183918,13296,831 4024,3916,251
998 crimson_sign 12374,3834,259,1071,125000 177973,3504,219 9084,511,73
999 warped_sign 22994,10797,917,929,1000000 285009,10032,627 22168,2139,203
1001 spruce_hanging_sign 35279,3374,455,833,265000 518754,2784,174 29853,1001,87
1002 birch_hanging_sign 138544,331,34,3125,990000 2113125,256,16 90333,66,7
1003 jungle_hanging_sign 222899,268,22,5000,799999 3600000,256,16 4688,16,1
1004 acacia_hanging_sign 92597,173,38,4286,245313 1787500,96,6 415000,60,7
