item,price,price_src,ah_value,units_per_day,trades_per_day,pull,capture,thinness,corner_cost,bid_change_pct,bid_now,top_outputs
dark_oak_slab,156.0,ah,156.0,35562,569,1028400452,6592310.6,28919,5547672,,,"lectern(490,087,500); barrel(332,685,738); composter(87,348,214)"
lapis_lazuli,22.0,orders,1563.0,290225,5179,143339634,6515437.9,494,6384950,,,"blue_dye(123,334,426); lapis_block(20,005,208)"
pink_wool,160.0,orders,2188.0,64510,1099,1024452853,6402830.3,15881,10321600,,,"painting(716,800,000); pink_carpet(91,190,976); pink_banner(15,933,333)"
netherrack,159.3,ah,594.0,291894,4677,1013511600,6361883.1,3472,46501633,,,"netherite_upgrade_smithing_template(788,931,600); rib_armor_trim_smithing_template(224,580,000)"
deepslate_bricks,10.0,orders,781.0,353645,5621,63069848,6306984.8,178,3536450,,,"deepslate_brick_slab(30,875,628); deepslate_brick_stairs(26,112,586); deepslate_brick_wall(6,081,633)"
charcoal,100.0,orders,703.0,494965,7819,615170101,6151701.0,1243,49496500,,,"torch(317,278,598); campfire(252,861,262); soul_torch(33,531,250)"
bamboo_planks,469.0,ah,469.0,124927,1994,2829092775,6032180.8,22646,58590763,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
pale_oak_planks,654.9,ah,781.0,175772,2773,3914048414,5976193.9,22268,115120114,,,"pale_oak_pressure_plate(871,387,500); piston(473,568,456); bookshelf(392,826,417)"
yellow_dye,312.5,ah,391.0,189445,3109,1762323237,5639434.4,9303,59201562,,,"yellow_wool(418,695,127); orange_dye(414,674,820); yellow_candle(328,100,000)"
fermented_spider_eye,147.1,orders,9313.0,86755,1752,813328125,5529083.1,9375,12761660,,,"weakness/slowness/invis brewing(813,328,125)"
ink_sac,151.0,orders,3422.0,48651,1325,813026509,5384281.5,16711,7346301,,,"writable_book(428,063,000); black_dye(384,963,509)"
ender_pearl,55.0,orders,938.0,494027,35849,294646148,5357202.7,596,27171485,103.7,55,"ender_eye(294,646,148)"
white_dye,583.5,ah,781.0,216041,3544,3005357750,5150393.7,13911,126064244,,,"white_carpet(577,776,849); white_stained_glass(543,485,000); white_wool(428,272,941)"
cocoa_beans,26.0,orders,400.0,28474,661,133723288,5143203.4,4696,740324,,,"brown_dye(83,094,600); cookie(50,628,688)"
dropper,236.0,orders,780.0,219275,6550,1206720552,5113222.7,5503,51748900,4.0,236,"crafter(1,206,720,552)"
obsidian,601.0,orders,1094.0,630640,23728,3069563093,5107426.1,4867,379014640,-11.1,601,"beacon(2,658,833,333); ender_chest(320,914,750); enchanting_table(89,815,010)"
pink_petals,6.0,orders,305.0,108244,1779,30495104,5082517.3,282,649464,20.0,6,"pink_dye(30,495,104)"
cherry_log,128.0,orders,1500.0,162749,2686,645347304,5041775.8,3965,20831872,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
bone,137.0,orders,703.0,286684,4790,677202232,4943082.0,2362,39275708,-54.3,137,"bone_meal(677,202,232)"
crying_obsidian,201.0,orders,4375.0,85871,2526,974962079,4850557.6,11354,17260071,,,"respawn_anchor(599,276,454); respawn anchors(375,685,625)"
mossy_cobblestone,24.0,orders,781.0,129014,2071,114678400,4778266.7,889,3096336,,,"wild_armor_trim_smithing_template(85,595,000); mossy_cobblestone_slab(23,251,488); mossy_cobblestone_wall(4,442,225)"
prismarine_crystals,75.0,orders,1563.0,11085,277,346953750,4626050.0,31299,831375,,,"sea_lantern(346,953,750)"
