raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
slime_ball,40.0,orders,slime_ball x9 -> slime_block x1,slime_block,0.111,0.0,5000.0,3333.3,4960.0,3293.3,265477,8925,45000.0,30000.0
slime_ball,40.0,orders,slime_ball x1 -> magma_cream x1,magma_cream,1.0,30.0,3438.0,2969.0,3368.0,2899.0,38984,711,3438.0,2969.0
slime_ball,40.0,orders,slime_ball x1 -> sticky_piston x1,sticky_piston,1.0,853.0,15999.0,3625.0,15106.0,2732.0,214402,11586,15999.0,3625.0
slime_ball,40.0,orders,slime_ball x9 -> slime_block x1 -> slime_ball x9,slime_ball,1.0,0.0,469.0,469.0,429.0,429.0,107749,1882,469.0,469.0
slime_ball,40.0,orders,slime_ball x1 -> magma_cream x1 -> magma_block x1,magma_block,0.25,30.0,97.8,97.8,27.8,27.8,189409,3410,391.0,391.0
ender_pearl,55.0,orders,(sell raw as-is on AH),ender_pearl,1,0,938.0,938.0,883.0,883.0,494027,35849,938.0,938.0
ender_pearl,55.0,orders,ender_pearl x1 -> ender_eye x1 -> end_crystal x1,end_crystal,1.0,11990.0,27500.0,25000.0,15455.0,12955.0,423402,18141,27500.0,25000.0
ender_pearl,55.0,orders,ender_pearl x1 -> ender_eye x1 -> ender_chest x1,ender_chest,1.0,4838.0,38000.0,17000.0,33107.0,12107.0,67561,19648,38000.0,17000.0
ender_pearl,55.0,orders,ender_pearl x1 -> ender_eye x1,ender_eye,1.0,30.0,3109.0,3109.0,3024.0,3024.0,94772,2025,3109.0,3109.0
ender_eye,10.0,orders,(sell raw as-is on AH),ender_eye,1,0,3109.0,3109.0,3099.0,3099.0,94772,2025,3109.0,3109.0
ender_eye,10.0,orders,ender_eye x1 -> end_crystal x1,end_crystal,1.0,11960.0,27500.0,25000.0,15530.0,13030.0,423402,18141,27500.0,25000.0
ender_eye,10.0,orders,ender_eye x1 -> ender_chest x1,ender_chest,1.0,4808.0,38000.0,17000.0,33182.0,12182.0,67561,19648,38000.0,17000.0
ghast_tear,10000.0,orders,(sell raw as-is on AH),ghast_tear,1,0,15600.0,15600.0,5600.0,5600.0,18820,634,15600.0,15600.0
ghast_tear,10000.0,orders,ghast_tear x1 -> end_crystal x1,end_crystal,1.0,1970.0,27500.0,25000.0,15530.0,13030.0,423402,18141,27500.0,25000.0
ghast_tear,10000.0,orders,ghast_tear x8 -> dried_ghast x1,dried_ghast,0.125,10.6,1250.0,625.0,-8760.6,-9385.6,15357,756,10000.0,5000.0
wheat,225.0,orders,(sell raw as-is on AH),wheat,1,0,1859.0,1563.0,1634.0,1338.0,228627,3800,1859.0,1563.0
wheat,225.0,orders,wheat x3 -> cake x1,cake,0.333,638.7,50000.0,33000.0,49136.3,32136.3,1808,1808,150000.0,99000.0
wheat,225.0,orders,wheat x3 -> cake x1,cake,0.333,1004.3,50000.0,33000.0,48770.7,31770.7,1808,1808,150000.0,99000.0
wheat,225.0,orders,wheat x3 -> cake x1,cake,0.333,1046.0,50000.0,33000.0,48729.0,31729.0,1808,1808,150000.0,99000.0
wheat,225.0,orders,wheat x1 -> packed_mud x1,packed_mud,1.0,1.0,4672.0,3906.0,4446.0,3680.0,44923,725,4672.0,3906.0
wheat,225.0,orders,wheat x1 -> packed_mud x1 -> mud_bricks x4,mud_bricks,1.0,1.0,3125.0,3125.0,2899.0,2899.0,64542,1080,3125.0,3125.0
wheat,225.0,orders,wheat x2 -> cookie x8,cookie,4.0,13.0,2776.0,2752.0,2538.0,2514.0,72952,1195,694.0,688.0
pumpkin,70.0,orders,(sell raw as-is on AH),pumpkin,1,0,1203.0,1172.0,1133.0,1102.0,97016,2148,1203.0,1172.0
pumpkin,70.0,orders,pumpkin x1 -> pumpkin_seeds x4,pumpkin_seeds,4.0,0.0,2812.0,2812.0,2742.0,2742.0,49780,932,703.0,703.0
pumpkin,70.0,orders,pumpkin x1 -> pumpkin_pie x1,pumpkin_pie,1.0,372.0,1815.0,1563.0,1373.0,1121.0,10185,216,1815.0,1563.0
melon_slice,10.0,orders,(sell raw as-is on AH),melon_slice,1,0,469.0,469.0,459.0,459.0,83226,1525,469.0,469.0
melon_slice,10.0,orders,melon_slice x1 -> glistering_melon_slice x1,glistering_melon_slice,1.0,264.0,6219.0,1563.0,5945.0,1289.0,9897,282,6219.0,1563.0
melon_slice,10.0,orders,melon_slice x1 -> melon_seeds x1,melon_seeds,1.0,0.0,1563.0,800.0,1553.0,790.0,8985,290,1563.0,800.0
melon_slice,10.0,orders,melon_slice x9 -> melon x1,melon,0.111,0.0,173.7,164.9,163.7,154.9,35758,628,1563.0,1484.0
cactus,361.14,ah,(sell raw as-is on AH),cactus,1,0,422.0,422.0,60.9,60.9,143851,2477,422.0,422.0
netherrack,159.31,ah,(sell raw as-is on AH),netherrack,1,0,594.0,313.0,434.7,153.7,291894,4677,594.0,313.0
netherrack,159.31,ah,netherrack x1 -> rib_armor_trim_smithing_template x2 -> rib_armor_trim_smithing_template x2,rib_armor_trim_smithing_template,4.0,125285.3,380000.0,380000.0,254555.4,254555.4,2364,1412,95000.0,95000.0
netherrack,159.31,ah,netherrack x1 -> rib_armor_trim_smithing_template x2,rib_armor_trim_smithing_template,2.0,44988.9,190000.0,190000.0,144851.8,144851.8,2364,1412,95000.0,95000.0
netherrack,159.31,ah,netherrack x1 -> netherite_upgrade_smithing_template x2 -> netherite_upgrade_smithing_template x2,netherite_upgrade_smithing_template,4.0,129385.3,199200.0,192000.0,69655.4,62455.4,15842,4147,49800.0,48000.0
netherrack,159.31,ah,netherrack x1 -> netherite_upgrade_smithing_template x2,netherite_upgrade_smithing_template,2.0,49088.9,99600.0,96000.0,50351.8,46751.8,15842,4147,49800.0,48000.0
blackstone,850.0,orders,(sell raw as-is on AH),blackstone,1,0,3125.0,3125.0,2275.0,2275.0,351546,5850,3125.0,3125.0
blackstone,850.0,orders,blackstone x1 -> snout_armor_trim_smithing_template x2 -> snout_armor_trim_smithing_template x2,snout_armor_trim_smithing_template,4.0,124666.7,479996.0,476000.0,354479.3,350483.3,606,412,119999.0,119000.0
blackstone,850.0,orders,blackstone x1 -> snout_armor_trim_smithing_template x2,snout_armor_trim_smithing_template,2.0,42988.9,239998.0,238000.0,196159.1,194161.1,606,412,119999.0,119000.0
blackstone,850.0,orders,blackstone x4 -> polished_blackstone x4 -> polished_blackstone_button x1,polished_blackstone_button,1.0,0.0,19500.0,17949.0,18650.0,17099.0,12630,1862,19500.0,17949.0
blackstone,850.0,orders,blackstone x4 -> polished_blackstone x4 -> polished_blackstone_pressure_plate x1,polished_blackstone_pressure_plate,0.5,0.0,17975.0,17440.0,17125.0,16590.0,1886,145,35950.0,34880.0
blackstone,850.0,orders,blackstone x3 -> blackstone_slab x6,blackstone_slab,2.0,0.0,7812.0,7812.0,6962.0,6962.0,41663,666,3906.0,3906.0
blackstone,850.0,orders,blackstone x4 -> polished_blackstone x4,polished_blackstone,1.0,0.0,3125.0,3125.0,2275.0,2275.0,241585,3942,3125.0,3125.0
basalt,62.5,ah,(sell raw as-is on AH),basalt,1,0,62.5,62.5,0.0,0.0,288433,4551,62.5,62.5
